Timestamp,Wogegen sind Sie geimpft?,"Falls Sie nicht geimpft sind, weshalb nicht?",Sind Sie z.B. aufgrund von Immunsuppressiva auf eine hohe Immunität innerhalb der Bevölkerung angewiesen?,"Ich würde mich gegen Krankheiten mit hohem Infektionsrisiko, jedoch leichten Symptomen impfen lassen.","Ich würde mich gegen Krankheiten mit niedrigem Infektionsrisiko, jedoch schweren Symptomen impfen lassen.",Vor einer Impfung achte ich auf ihre Wirksamkeit.,Vor einer Impfung achte ich auf Empfehlungen meiner Ärztin bzw. meines Arztes.,Vor einer Impfung achte ich auf Empfehlungen des Gesundheitsamtes oder der Impfkommission.,"Für mich ist eine Impfung wirksam, wenn sie mein Infektionsrisiko senkt.","Für mich ist eine Impfung wirksam, wenn sie die Weitergabe des Krankheitserregers verhindert.","Für mich ist eine Impfung wirksam, wenn sie im Falle einer Infektion meine Symptome mildert.",Kurzzeitige leichte Nebenwirkungen wie Müdigkeit oder Schwindel würde ich in Kauf nehmen.,Kurzzeitige schwere Nebenwirkungen wie hohes Fieber würde ich in Kauf nehmen.,Länger andauernde Nebenwirkungen wie Müdigkeit würde ich in Kauf nehmen.,Wie viele Covid-19-Impfdosen haben Sie bereits erhalten?,"Wenn ja, wann haben Sie sich impfen lassen?","Wenn ja, aus welchem Grund haben Sie sich impfen lassen?","Sind generelle Hygienemaßnahmen (Sicherheitsabstände, Hände waschen, Lüften, persönliche Schutzmaßnahmen) Ihrer Ansicht nach bereits ausreichend wirksam?","Sind Covid-19-Maßnahmen der Regierung (Einschränkungen für Gastronomie, Veranstaltungen, Home Office) Ihrer Ansicht nach wirksam?",In welchen Bereichen vertrauen Sie der Covid-19-Impfung?,In welchen Bereichen vertrauen Sie der Covid-19-Impfung nicht?,Geschlecht,Alter,Was ist Ihre höchste abgeschlossene Schulbildung?,Welchen Beruf üben Sie aus?,Sind Sie im Gesundheitsbereich tätig?,"Wenn ja, welchen Beruf üben Sie genau aus?"
14/04/2022 20:13:55,"Covid-19, Ich weiß es nicht/Ich bin mir nicht sicher",,Nein,4,5,3,5,5,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,3,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,65,Matura (AHS/BHS/Abendmatura),Derzeit nicht erwerbstätig,Nein,
14/04/2022 21:11:57,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,5,4,4,3,3,3,3,5,3,2,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",3,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,62,Hochschule/Universität,Angestellte/r,Nein,
14/04/2022 21:14:51,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,3,5,5,5,2,5,2,5,5,5,1,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,3,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,46,Hochschule/Universität,Leitende/r Angestellte/r,Ja,
14/04/2022 21:15:07,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Covid-19",,Nein,4,5,5,5,5,5,5,5,5,3,1,3,Zum ehestmöglichem Zeitpunkt,Um besonders gefährdete Menschen zu schützen (Herdenimmunität),4,2,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,52,Berufsbildende Mittlere Schule (Fach-/Handelsschule),Selbstständig,Nein,
14/04/2022 21:15:49,"Masern-Mumps-Röteln, Tetanus, Hepatitis, Covid-19",,Nein,3,3,3,4,4,5,4,4,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität), Um einfacher reisen zu können",2,2,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,43,Hochschule/Universität,Selbstständig,Nein,
14/04/2022 21:18:43,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,2,3,4,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,2,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,47,Hochschule/Universität,Leitende/r Angestellte/r,Nein,Beamte
14/04/2022 21:20:39,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,4,4,4,5,5,5,5,5,5,5,5,3,Zum ehestmöglichem Zeitpunkt,,2,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,53,Lehre,Leitende/r Angestellte/r,Nein,
14/04/2022 21:22:15,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Ja,4,4,5,4,3,5,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,2,2,Keine der genannten,Keine der genannten,weiblich,63,Hochschule/Universität,Leitende/r Angestellte/r,Nein,BHS Direktorin
14/04/2022 21:26:50,"Polio, Tetanus, Hepatitis, Grippe, Covid-19",,Nein,3,5,4,2,4,4,4,5,5,3,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,5,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,weiblich,62,Hochschule/Universität,Angestellte/r,Nein,Product Managerin
14/04/2022 21:29:49,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, Grippe, Covid-19",,Nein,5,5,5,4,3,5,5,5,5,5,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,1,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,56,Hochschule/Universität,Selbstständig,Ja,Qualitäts- und Risikomanager
14/04/2022 21:30:29,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,1,3,5,3,2,4,2,2,5,5,4,2,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren",Um einfacher reisen zu können,4,1,Keine der genannten,"Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",weiblich,27,Berufsbildende Mittlere Schule (Fach-/Handelsschule),Angestellte/r,Nein,
14/04/2022 21:32:50,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, Grippe, Covid-19",,Nein,5,3,2,1,4,5,5,5,5,4,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,3,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,56,Matura (AHS/BHS/Abendmatura),Angestellte/r,Nein,Sachbearbeiterin im Bildungsbereich
14/04/2022 21:32:51,"Masern-Mumps-Röteln, Polio, Tetanus, FSME/Zeckenschutzimpfung, Covid-19",,Nein,3,3,3,5,3,5,3,4,4,2,2,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,4,4,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,47,Hochschule/Universität,In Ausbildung (Schule/Lehre/Studium),Nein,
14/04/2022 21:34:37,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,2,3,3,2,4,5,5,5,5,3,3,3,Zum ehestmöglichem Zeitpunkt,Um besonders gefährdete Menschen zu schützen (Herdenimmunität),2,3,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,72,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,
14/04/2022 21:36:46,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, Grippe, Covid-19",,Nein,5,5,4,4,5,5,5,5,5,4,4,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",2,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)","Verhinderung einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",männlich,58,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,Wirtschaftsinformatik 
14/04/2022 21:39:58,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Covid-19",,Nein,4,5,5,5,5,5,5,5,5,4,5,3,"Nach ein paar Wochen, als bereits einige Freunde und Bekannte geimpft waren","Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",3,5,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,weiblich,44,Hochschule/Universität,In Ausbildung (Schule/Lehre/Studium),Nein,
14/04/2022 21:41:10,"Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Ja,5,5,4,5,5,5,5,4,5,5,5,3,Zum ehestmöglichem Zeitpunkt,Zu meinem eigenem Schutz,1,3,Symptome im Falle einer Ansteckung,Verhinderung einer Ansteckung,weiblich,65,Matura (AHS/BHS/Abendmatura),Derzeit nicht erwerbstätig,Nein,
14/04/2022 21:41:15,"Masern-Mumps-Röteln, Polio, Tetanus, Covid-19, Ich weiß es nicht/Ich bin mir nicht sicher",,Nein,2,4,3,4,3,5,5,5,5,3,2,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",1,4,"Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Verhinderung einer Ansteckung,männlich,49,Matura (AHS/BHS/Abendmatura),Selbstständig,Nein,freier Journalist
14/04/2022 21:43:52,"Masern-Mumps-Röteln, Polio, Tetanus, Hepatitis, FSME/Zeckenschutzimpfung, Grippe, Covid-19",,Nein,5,5,1,5,5,5,5,5,5,5,3,3,Zum ehestmöglichem Zeitpunkt,"Zu meinem eigenem Schutz, Um besonders gefährdete Menschen zu schützen (Herdenimmunität)",4,4,"Verhinderung einer Ansteckung, Symptome im Falle einer Ansteckung, Wahrscheinlichkeit einer Weitergabe im Falle einer Ansteckung (Infektiösität)",Keine der genannten,männlich,68,Hochschule/Universität,Derzeit nicht erwerbstätig,Nein,pensionist
